0 <= x 30; y_1 = 50.0 + 0.6x; interpolation 
30 <= x 60; y_2 = 84.0 + -0.5333x; interpolation 
60 <= x 90; y_3 = 16.0 + 0.6x; interpolation 
90 <= x 120; y_4 = 106.0 + -0.4x; interpolation 
120 <= x 150; y_5 = 22.0 + 0.3x; interpolation 
150 <= x 180; y_6 = 87.0 + -0.1333x; interpolation 
180 <= x 210; y_7 = 15.0 + 0.2667x; interpolation 
210 <= x 240; y_8 = 113.0 + -0.2x; interpolation 
240 <= x 270; y_9 = 17.0 + 0.2x; interpolation 
270 <= x 300; y_10 = 107.0 + -0.1333x; interpolation 
300 <= x 330; y_11 = 187.0 + -0.4x; interpolation 
330 <= x 360; y_12 = -44.0 + 0.3x; interpolation 
360 <= x 390; y_13 = 196.0 + -0.3667x; interpolation 
390 <= x 420; y_14 = 27.0 + 0.0667x; interpolation 
420 <= x 450; y_15 = -169.0 + 0.5333x; interpolation 
450 <= x 480; y_16 = 71.0 + 0.0x; interpolation 
480 <= x 510; y_17 = 327.0 + -0.5333x; interpolation 
510 <= x 540; y_18 = 89.0 + -0.0667x; interpolation 
540 <= x 570; y_19 = -253.0 + 0.5667x; interpolation 
570 <= x 600; y_20 = 393.0 + -0.5667x; interpolation 
600 <= x 630; y_21 = -7.0 + 0.1x; interpolation 
630 <= x 660; y_22 = 98.0 + -0.0667x; interpolation 
660 <= x 690; y_23 = -364.0 + 0.6333x; interpolation 
690 <= x 720; y_24 = 96.0 + -0.0333x; interpolation 
720 <= x 750; y_25 = 480.0 + -0.5667x; interpolation 
750 <= x 780; y_26 = -395.0 + 0.6x; interpolation 
780 <= x 810; y_27 = 73.0 + 0.0x; interpolation 
810 <= x 840; y_28 = 73.0 + 0.0x; interpolation 
840 <= x 870; y_29 = 45.0 + 0.0333x; interpolation 
870 <= x 900; y_30 = 132.0 + -0.0667x; interpolation 
900 <= x 930; y_31 = 42.0 + 0.0333x; interpolation 
930 <= x 960; y_32 = 42.0 + 0.0333x; interpolation 
960 <= x 990; y_33 = 106.0 + -0.0333x; interpolation 
990 <= x 1020; y_34 = 139.0 + -0.0667x; interpolation 
1020 <= x 1050; y_35 = 615.0 + -0.5333x; interpolation 
1050 <= x 1080; y_36 = 55.0 + 0.0x; interpolation 
1080 <= x 1110; y_37 = -521.0 + 0.5333x; interpolation 
1110 <= x 1140; y_38 = 34.0 + 0.0333x; interpolation 
1140 <= x 1170; y_39 = 72.0 + 0.0x; interpolation 
1170 <= x 1200; y_40 = 111.0 + -0.0333x; interpolation 
1200 <= x 1230; y_41 = 71.0 + 0.0x; interpolation 
1230 <= x 1260; y_42 = -11.0 + 0.0667x; interpolation 
1260 <= x 1290; y_43 = 115.0 + -0.0333x; interpolation 
1290 <= x 1320; y_44 = 115.0 + -0.0333x; interpolation 
1320 <= x 1350; y_45 = 687.0 + -0.4667x; interpolation 
1350 <= x 1380; y_46 = 192.0 + -0.1x; interpolation 
1380 <= x 1410; y_47 = -38.0 + 0.0667x; interpolation 
1410 <= x 1440; y_48 = -649.0 + 0.5x; interpolation 
1440 <= x 1470; y_49 = -25.0 + 0.0667x; interpolation 
1470 <= x 1500; y_50 = 24.0 + 0.0333x; interpolation 
1500 <= x 1530; y_51 = 1124.0 + -0.7x; interpolation 
1530 <= x 1560; y_52 = -49.099999999999994 + 0.0667x; interpolation 
1560 <= x 1590; y_53 = -464.9 + 0.3333x; interpolation 
1590 <= x 1620; y_54 = -359.1 + 0.2667x; interpolation 
1620 <= x 1650; y_55 = 126.9 + -0.0333x; interpolation 
1650 <= x 1680; y_56 = 1007.1 + -0.5667x; interpolation 
1680 <= x 1710; y_57 = -840.9 + 0.5333x; interpolation 
1710 <= x 1740; y_58 = 1097.0 + -0.6x; interpolation 
1740 <= x 1770; y_59 = -178.9 + 0.1333x; interpolation 
1770 <= x 1800; y_60 = 234.0 + -0.1x; interpolation 
1800 <= x 1830; y_61 = -966.1 + 0.5667x; interpolation 
1830 <= x 1860; y_62 = 1046.9 + -0.5333x; interpolation 
1860 <= x 1890; y_63 = -6.899999999999999 + 0.0333x; interpolation 
1890 <= x 1920; y_64 = -1015.0999999999999 + 0.5667x; interpolation 
1920 <= x 1950; y_65 = 1096.9 + -0.5333x; interpolation 
1950 <= x 1980; y_66 = 252.0 + -0.1x; interpolation 
1980 <= x 2010; y_67 = -144.0 + 0.1x; interpolation 
2010 <= x 2040; y_68 = 123.9 + -0.0333x; interpolation 
2040 <= x 2070; y_69 = 56.0 + 0.0x; interpolation 
2070 <= x 2100; y_70 = -979.0 + 0.5x; interpolation 
2100 <= x 2130; y_71 = 281.0 + -0.1x; interpolation 
2130 <= x 2160; y_72 = 3120.9 + -1.4333x; interpolation 
2160 <= x 2190; y_73 = 169.1 + -0.0667x; interpolation 
2190 <= x 2220; y_74 = -3408.1 + 1.5667x; interpolation 
2220 <= x 2250; y_75 = 1106.1 + -0.4667x; interpolation 
2250 <= x 2280; y_76 = -1069.0 + 0.5x; interpolation 
2280 <= x 2310; y_77 = 1135.1 + -0.4667x; interpolation 
2310 <= x 2340; y_78 = -1021.0999999999999 + 0.4667x; interpolation 
2340 <= x 2370; y_79 = -163.0 + 0.1x; interpolation 
2370 <= x 2400; y_80 = 1574.9 + -0.6333x; interpolation 
2400 <= x 2430; y_81 = -1385.0 + 0.6x; interpolation 
2430 <= x 2460; y_82 = 235.1 + -0.0667x; interpolation 
2460 <= x 2490; y_83 = 1136.9 + -0.4333x; interpolation 
2490 <= x 2520; y_84 = 224.1 + -0.0667x; interpolation 
2520 <= x 2550; y_85 = -27.900000000000006 + 0.0333x; interpolation 
2550 <= x 2580; y_86 = -1302.9 + 0.5333x; interpolation 
2580 <= x 2610; y_87 = 245.1 + -0.0667x; interpolation 
2610 <= x 2640; y_88 = 1811.1 + -0.6667x; interpolation 
2640 <= x 2670; y_89 = -564.9 + 0.2333x; interpolation 
2670 <= x 2700; y_90 = -1277.0 + 0.5x; interpolation 
2700 <= x 2730; y_91 = 253.1 + -0.0667x; interpolation 
2730 <= x 2760; y_92 = 71.0 + 0.0x; interpolation 
2760 <= x 2790; y_93 = 255.1 + -0.0667x; interpolation 
2790 <= x 2820; y_94 = 1371.1 + -0.4667x; interpolation 
2820 <= x 2850; y_95 = -227.0 + 0.1x; interpolation 
2850 <= x 2880; y_96 = -1176.9 + 0.4333x; interpolation 
2880 <= x 2910; y_97 = 1318.9 + -0.4333x; interpolation 
2910 <= x 2940; y_98 = -1397.0 + 0.5x; interpolation 
2940 <= x 2970; y_99 = 269.1 + -0.0667x; interpolation 
2970 <= x 3000; y_100 = 71.0 + 0.0x; interpolation 
3000 <= x 3030; y_101 = 71.0 + 0.0x; interpolation 
3030 <= x 3060; y_102 = 71.0 + 0.0x; interpolation 
3060 <= x 3090; y_103 = 71.0 + 0.0x; interpolation 
3090 <= x 3120; y_104 = -238.0 + 0.1x; interpolation 
3120 <= x 3150; y_105 = 282.1 + -0.0667x; interpolation 
3150 <= x 3180; y_106 = 1647.0 + -0.5x; interpolation 
3180 <= x 3210; y_107 = -1427.1 + 0.4667x; interpolation 
3210 <= x 3240; y_108 = 1676.0 + -0.5x; interpolation 
3240 <= x 3270; y_109 = -160.1 + 0.0667x; interpolation 
3270 <= x 3300; y_110 = -1358.9 + 0.4333x; interpolation 
3300 <= x 3330; y_111 = 180.9 + -0.0333x; interpolation 
3330 <= x 3360; y_112 = -263.0 + 0.1x; interpolation 
3360 <= x 3390; y_113 = -38.900000000000006 + 0.0333x; interpolation 
3390 <= x 3420; y_114 = 74.0 + 0.0x; interpolation 
3420 <= x 3450; y_115 = 187.9 + -0.0333x; interpolation 
3450 <= x 3480; y_116 = 187.9 + -0.0333x; interpolation 
3480 <= x 3510; y_117 = 1579.9 + -0.4333x; interpolation 
3510 <= x 3540; y_118 = -1461.9 + 0.4333x; interpolation 
3540 <= x 3570; y_119 = 308.1 + -0.0667x; interpolation 
3570 <= x 3600; y_120 = -287.0 + 0.1x; interpolation 
3600 <= x 3630; y_121 = 793.0 + -0.2x; interpolation 
3630 <= x 3660; y_122 = -779.9 + 0.2333x; interpolation 
3660 <= x 3690; y_123 = 684.1 + -0.1667x; interpolation 
3690 <= x 3720; y_124 = -546.1 + 0.1667x; interpolation 
3720 <= x 3750; y_125 = 446.0 + -0.1x; interpolation 
3750 <= x 3780; y_126 = 1946.0 + -0.5x; interpolation 
3780 <= x 3810; y_127 = -2086.1 + 0.5667x; interpolation 
3810 <= x 3840; y_128 = 73.0 + 0.0x; interpolation 
3840 <= x 3870; y_129 = 457.0 + -0.1x; interpolation 
3870 <= x 3900; y_130 = 1876.1 + -0.4667x; interpolation 
3900 <= x 3930; y_131 = -73.9 + 0.0333x; interpolation 
3930 <= x 3960; y_132 = -2038.9 + 0.5333x; interpolation 
3960 <= x 3990; y_133 = 469.0 + -0.1x; interpolation 
3990 <= x 4020; y_134 = 2065.0 + -0.5x; interpolation 
4020 <= x 4050; y_135 = -213.10000000000002 + 0.0667x; interpolation 
4050 <= x 4080; y_136 = -1697.9 + 0.4333x; interpolation 
4080 <= x 4110; y_137 = 205.9 + -0.0333x; interpolation 
4110 <= x 4140; y_138 = 1713.0 + -0.4x; interpolation 
4140 <= x 4170; y_139 = -2150.9 + 0.5333x; interpolation 
4170 <= x 4200; y_140 = 628.9 + -0.1333x; interpolation 
4200 <= x 4230; y_141 = 2169.0 + -0.5x; interpolation 
4230 <= x 4260; y_142 = -2624.9 + 0.6333x; interpolation 
4260 <= x 4290; y_143 = 73.0 + 0.0x; interpolation 
4290 <= x 4320; y_144 = 2789.9 + -0.6333x; interpolation 
4320 <= x 4350; y_145 = -378.0 + 0.1x; interpolation 
4350 <= x 4380; y_146 = -2408.1 + 0.5667x; interpolation 
4380 <= x 4410; y_147 = 3140.0 + -0.7x; interpolation 
4410 <= x 4440; y_148 = 4316.1 + -0.9667x; interpolation 
4440 <= x 4470; y_149 = -4860.0 + 1.1x; interpolation 
4470 <= x 4500; y_150 = 504.0 + -0.1x; interpolation 
4500 <= x 4530; y_151 = -2046.1999999999998 + 0.4667x; interpolation 
4530 <= x 4560; y_152 = -687.2 + 0.1667x; interpolation 
4560 <= x 4590; y_153 = 833.2 + -0.1667x; interpolation 
4590 <= x 4620; y_154 = -543.8 + 0.1333x; interpolation 
4620 <= x 4650; y_155 = 687.8 + -0.1333x; interpolation 
4650 <= x 4680; y_156 = -707.2 + 0.1667x; interpolation 
4680 <= x 4710; y_157 = 696.8 + -0.1333x; interpolation 
4710 <= x 4740; y_158 = -716.2 + 0.1667x; interpolation 
4740 <= x 4770; y_159 = 390.2 + -0.0667x; interpolation 
4770 <= x 4800; y_160 = 2775.2 + -0.5667x; interpolation 
4800 <= x 4830; y_161 = -2825.0 + 0.6x; interpolation 
4830 <= x 4860; y_162 = 2971.0 + -0.6x; interpolation 
4860 <= x 4890; y_163 = -2213.2 + 0.4667x; interpolation 
4890 <= x 4920; y_164 = 2351.2 + -0.4667x; interpolation 
4920 <= x 4950; y_165 = -2568.8 + 0.5333x; interpolation 
4950 <= x 4980; y_166 = 2710.8 + -0.5333x; interpolation 
4980 <= x 5010; y_167 = -941.0 + 0.2x; interpolation 
5010 <= x 5040; y_168 = -1608.8 + 0.3333x; interpolation 
5040 <= x 5070; y_169 = 1919.2 + -0.3667x; interpolation 
5070 <= x 5100; y_170 = -2136.8 + 0.4333x; interpolation 
5100 <= x 5130; y_171 = 1093.0 + -0.2x; interpolation 
5130 <= x 5160; y_172 = 2119.0 + -0.4x; interpolation 
5160 <= x 5190; y_173 = -3041.0 + 0.6x; interpolation 
5190 <= x 5220; y_174 = 3014.2 + -0.5667x; interpolation 
5220 <= x 5250; y_175 = 229.8 + -0.0333x; interpolation 
5250 <= x 5280; y_176 = 55.0 + 0.0x; interpolation 
5280 <= x 5310; y_177 = -825.2 + 0.1667x; interpolation 
5310 <= x 5340; y_178 = -2240.8 + 0.4333x; interpolation 
5340 <= x 5370; y_179 = 2031.2 + -0.3667x; interpolation 
5370 <= x 5400; y_180 = -1727.8 + 0.3333x; interpolation 
5400 <= x 5430; y_181 = 2052.2 + -0.3667x; interpolation 
5430 <= x 5460; y_182 = -1748.8 + 0.3333x; interpolation 
5460 <= x 5490; y_183 = 1527.2 + -0.2667x; interpolation 
5490 <= x 5520; y_184 = 1527.2 + -0.2667x; interpolation 
5520 <= x 5550; y_185 = -3257.0 + 0.6x; interpolation 
5550 <= x 5580; y_186 = 2848.0 + -0.5x; interpolation 
5580 <= x 5610; y_187 = -2359.8 + 0.4333x; interpolation 
5610 <= x 5640; y_188 = 3062.8 + -0.5333x; interpolation 
5640 <= x 5670; y_189 = -3329.0 + 0.6x; interpolation 
5670 <= x 5700; y_190 = 640.0 + -0.1x; interpolation 
5700 <= x 5730; y_191 = 3300.2 + -0.5667x; interpolation 
5730 <= x 5760; y_192 = -3958.0 + 0.7x; interpolation 
5760 <= x 5790; y_193 = 3721.8 + -0.6333x; interpolation 
5790 <= x 5820; y_194 = -3611.8 + 0.6333x; interpolation 
5820 <= x 5850; y_195 = 3954.2 + -0.6667x; interpolation 
5850 <= x 5880; y_196 = -3846.2 + 0.6667x; interpolation 
5880 <= x 5910; y_197 = 3994.2 + -0.6667x; interpolation 
5910 <= x 5940; y_198 = -3492.0 + 0.6x; interpolation 
5940 <= x 5970; y_199 = -125.80000000000001 + 0.0333x; interpolation 
5970 <= x 6000; y_200 = 471.2 + -0.0667x; interpolation 
6000 <= x 6030; y_201 = 3270.8 + -0.5333x; interpolation 
6030 <= x 6060; y_202 = -3563.0 + 0.6x; interpolation 
6060 <= x 6090; y_203 = 3910.8 + -0.6333x; interpolation 
6090 <= x 6120; y_204 = -3397.2 + 0.5667x; interpolation 
6120 <= x 6150; y_205 = 71.0 + 0.0x; interpolation 
6150 <= x 6180; y_206 = 71.0 + 0.0x; interpolation 
6180 <= x 6210; y_207 = -547.0 + 0.1x; interpolation 
6210 <= x 6240; y_208 = 4006.8 + -0.6333x; interpolation 
6240 <= x 6270; y_209 = -3481.2 + 0.5667x; interpolation 
6270 <= x 6300; y_210 = 3415.8 + -0.5333x; interpolation 
6300 <= x 6330; y_211 = -2884.2 + 0.4667x; interpolation 
6330 <= x 6360; y_212 = 3235.0 + -0.5x; interpolation 
6360 <= x 6390; y_213 = -3549.2 + 0.5667x; interpolation 
6390 <= x 6420; y_214 = -140.8 + 0.0333x; interpolation 
6420 <= x 6450; y_215 = 501.2 + -0.0667x; interpolation 
6450 <= x 6480; y_216 = 501.2 + -0.0667x; interpolation 
6480 <= x 6510; y_217 = 3093.2 + -0.4667x; interpolation 
6510 <= x 6540; y_218 = -3851.0 + 0.6x; interpolation 
6540 <= x 6570; y_219 = 3997.0 + -0.6x; interpolation 
6570 <= x 6600; y_220 = -3668.2 + 0.5667x; interpolation 
6600 <= x 6630; y_221 = 3812.2 + -0.5667x; interpolation 
6630 <= x 6660; y_222 = -165.8 + 0.0333x; interpolation 
6660 <= x 6690; y_223 = -3718.2 + 0.5667x; interpolation 
6690 <= x 6720; y_224 = 742.0 + -0.1x; interpolation 
6720 <= x 6750; y_225 = 3430.0 + -0.5x; interpolation 
6750 <= x 6780; y_226 = 279.8 + -0.0333x; interpolation 
6780 <= x 6810; y_227 = 5703.8 + -0.8333x; interpolation 
6810 <= x 6840; y_228 = 710.0 + -0.1x; interpolation 
6840 <= x 6870; y_229 = -9093.8 + 1.3333x; interpolation 
6870 <= x 6900; y_230 = -621.0 + 0.1x; interpolation 
