0 <= x 30; y_1 = 61.0 + 0.6333x; interpolation 
30 <= x 60; y_2 = 98.0 + -0.6x; interpolation 
60 <= x 90; y_3 = 20.0 + 0.7x; interpolation 
90 <= x 120; y_4 = 128.0 + -0.5x; interpolation 
120 <= x 150; y_5 = 12.0 + 0.4667x; interpolation 
150 <= x 180; y_6 = 112.0 + -0.2x; interpolation 
180 <= x 210; y_7 = 34.0 + 0.2333x; interpolation 
210 <= x 240; y_8 = 146.0 + -0.3x; interpolation 
240 <= x 270; y_9 = 2.0 + 0.3x; interpolation 
270 <= x 300; y_10 = 137.0 + -0.2x; interpolation 
300 <= x 330; y_11 = 197.0 + -0.4x; interpolation 
330 <= x 360; y_12 = -78.0 + 0.4333x; interpolation 
360 <= x 390; y_13 = 222.0 + -0.4x; interpolation 
390 <= x 420; y_14 = 79.0 + -0.0333x; interpolation 
420 <= x 450; y_15 = -215.0 + 0.6667x; interpolation 
450 <= x 480; y_16 = 85.0 + 0.0x; interpolation 
480 <= x 510; y_17 = 389.0 + -0.6333x; interpolation 
510 <= x 540; y_18 = 151.0 + -0.1667x; interpolation 
540 <= x 570; y_19 = -353.0 + 0.7667x; interpolation 
570 <= x 600; y_20 = 445.0 + -0.6333x; interpolation 
600 <= x 630; y_21 = 45.0 + 0.0333x; interpolation 
630 <= x 660; y_22 = 87.0 + -0.0333x; interpolation 
660 <= x 690; y_23 = -375.0 + 0.6667x; interpolation 
690 <= x 720; y_24 = 85.0 + 0.0x; interpolation 
720 <= x 750; y_25 = 541.0 + -0.6333x; interpolation 
750 <= x 780; y_26 = -434.0 + 0.6667x; interpolation 
780 <= x 810; y_27 = 86.0 + 0.0x; interpolation 
810 <= x 840; y_28 = 167.0 + -0.1x; interpolation 
840 <= x 870; y_29 = -1.0 + 0.1x; interpolation 
870 <= x 900; y_30 = 86.0 + 0.0x; interpolation 
900 <= x 930; y_31 = 56.0 + 0.0333x; interpolation 
930 <= x 960; y_32 = 118.0 + -0.0333x; interpolation 
960 <= x 990; y_33 = 246.0 + -0.1667x; interpolation 
990 <= x 1020; y_34 = -51.0 + 0.1333x; interpolation 
1020 <= x 1050; y_35 = 731.0 + -0.6333x; interpolation 
1050 <= x 1080; y_36 = 101.0 + -0.0333x; interpolation 
1080 <= x 1110; y_37 = -619.0 + 0.6333x; interpolation 
1110 <= x 1140; y_38 = 84.0 + 0.0x; interpolation 
1140 <= x 1170; y_39 = 160.0 + -0.0667x; interpolation 
1170 <= x 1200; y_40 = 121.0 + -0.0333x; interpolation 
1200 <= x 1230; y_41 = 1.0 + 0.0667x; interpolation 
1230 <= x 1260; y_42 = 42.0 + 0.0333x; interpolation 
1260 <= x 1290; y_43 = -42.0 + 0.1x; interpolation 
1290 <= x 1320; y_44 = 302.0 + -0.1667x; interpolation 
1320 <= x 1350; y_45 = 1006.0 + -0.7x; interpolation 
1350 <= x 1380; y_46 = -29.0 + 0.0667x; interpolation 
1380 <= x 1410; y_47 = -121.0 + 0.1333x; interpolation 
1410 <= x 1440; y_48 = -685.0 + 0.5333x; interpolation 
1440 <= x 1470; y_49 = -13.0 + 0.0667x; interpolation 
1470 <= x 1500; y_50 = -13.0 + 0.0667x; interpolation 
1500 <= x 1530; y_51 = 436.9 + -0.2333x; interpolation 
1530 <= x 1560; y_52 = 845.0 + -0.5x; interpolation 
1560 <= x 1590; y_53 = -871.0 + 0.6x; interpolation 
1590 <= x 1620; y_54 = -23.099999999999994 + 0.0667x; interpolation 
1620 <= x 1650; y_55 = 85.0 + 0.0x; interpolation 
1650 <= x 1680; y_56 = 1185.1 + -0.6667x; interpolation 
1680 <= x 1710; y_57 = -998.9000000000001 + 0.6333x; interpolation 
1710 <= x 1740; y_58 = 1166.9 + -0.6333x; interpolation 
1740 <= x 1770; y_59 = -109.0 + 0.1x; interpolation 
1770 <= x 1800; y_60 = 245.0 + -0.1x; interpolation 
1800 <= x 1830; y_61 = -1015.0 + 0.6x; interpolation 
1830 <= x 1860; y_62 = 1181.0 + -0.6x; interpolation 
1860 <= x 1890; y_63 = 3.1000000000000014 + 0.0333x; interpolation 
1890 <= x 1920; y_64 = -1194.1 + 0.6667x; interpolation 
1920 <= x 1950; y_65 = 1238.0 + -0.6x; interpolation 
1950 <= x 1980; y_66 = 327.9 + -0.1333x; interpolation 
1980 <= x 2010; y_67 = -134.0 + 0.1x; interpolation 
2010 <= x 2040; y_68 = 133.9 + -0.0333x; interpolation 
2040 <= x 2070; y_69 = 66.0 + 0.0x; interpolation 
2070 <= x 2100; y_70 = -1314.1 + 0.6667x; interpolation 
2100 <= x 2130; y_71 = 646.1 + -0.2667x; interpolation 
2130 <= x 2160; y_72 = 3628.1 + -1.6667x; interpolation 
2160 <= x 2190; y_73 = 172.1 + -0.0667x; interpolation 
2190 <= x 2220; y_74 = -4062.1 + 1.8667x; interpolation 
2220 <= x 2250; y_75 = 1192.0 + -0.5x; interpolation 
2250 <= x 2280; y_76 = -1208.1 + 0.5667x; interpolation 
2280 <= x 2310; y_77 = 1452.0 + -0.6x; interpolation 
2310 <= x 2340; y_78 = -1396.9 + 0.6333x; interpolation 
2340 <= x 2370; y_79 = -71.1 + 0.0667x; interpolation 
2370 <= x 2400; y_80 = 1824.9 + -0.7333x; interpolation 
2400 <= x 2430; y_81 = -1535.1 + 0.6667x; interpolation 
2430 <= x 2460; y_82 = 247.1 + -0.0667x; interpolation 
2460 <= x 2490; y_83 = 1394.9 + -0.5333x; interpolation 
2490 <= x 2520; y_84 = 149.9 + -0.0333x; interpolation 
2520 <= x 2550; y_85 = -17.900000000000006 + 0.0333x; interpolation 
2550 <= x 2580; y_86 = -1463.0 + 0.6x; interpolation 
2580 <= x 2610; y_87 = -87.1 + 0.0667x; interpolation 
2610 <= x 2640; y_88 = 2088.1 + -0.7667x; interpolation 
2640 <= x 2670; y_89 = -287.9 + 0.1333x; interpolation 
2670 <= x 2700; y_90 = -1534.0 + 0.6x; interpolation 
2700 <= x 2730; y_91 = 266.1 + -0.0667x; interpolation 
2730 <= x 2760; y_92 = -6.900000000000006 + 0.0333x; interpolation 
2760 <= x 2790; y_93 = 269.1 + -0.0667x; interpolation 
2790 <= x 2820; y_94 = 1664.1 + -0.5667x; interpolation 
2820 <= x 2850; y_95 = -122.1 + 0.0667x; interpolation 
2850 <= x 2880; y_96 = -502.0 + 0.2x; interpolation 
2880 <= x 2910; y_97 = 554.1 + -0.1667x; interpolation 
2910 <= x 2940; y_98 = -1580.1 + 0.5667x; interpolation 
2940 <= x 2970; y_99 = 576.1 + -0.1667x; interpolation 
2970 <= x 3000; y_100 = -314.9 + 0.1333x; interpolation 
3000 <= x 3030; y_101 = 285.1 + -0.0667x; interpolation 
3030 <= x 3060; y_102 = -17.900000000000006 + 0.0333x; interpolation 
3060 <= x 3090; y_103 = 185.9 + -0.0333x; interpolation 
3090 <= x 3120; y_104 = -432.1 + 0.1667x; interpolation 
3120 <= x 3150; y_105 = 296.1 + -0.0667x; interpolation 
3150 <= x 3180; y_106 = 2186.1 + -0.6667x; interpolation 
3180 <= x 3210; y_107 = -1736.1 + 0.5667x; interpolation 
3210 <= x 3240; y_108 = 1902.1 + -0.5667x; interpolation 
3240 <= x 3270; y_109 = -258.0 + 0.1x; interpolation 
3270 <= x 3300; y_110 = -1784.1 + 0.5667x; interpolation 
3300 <= x 3330; y_111 = 416.0 + -0.1x; interpolation 
3330 <= x 3360; y_112 = -250.0 + 0.1x; interpolation 
3360 <= x 3390; y_113 = -25.900000000000006 + 0.0333x; interpolation 
3390 <= x 3420; y_114 = 87.0 + 0.0x; interpolation 
3420 <= x 3450; y_115 = 315.1 + -0.0667x; interpolation 
3450 <= x 3480; y_116 = 85.0 + 0.0x; interpolation 
3480 <= x 3510; y_117 = 1940.9 + -0.5333x; interpolation 
3510 <= x 3540; y_118 = -1802.9 + 0.5333x; interpolation 
3540 <= x 3570; y_119 = 321.1 + -0.0667x; interpolation 
3570 <= x 3600; y_120 = -274.0 + 0.1x; interpolation 
3600 <= x 3630; y_121 = 446.0 + -0.1x; interpolation 
3630 <= x 3660; y_122 = -522.1 + 0.1667x; interpolation 
3660 <= x 3690; y_123 = 575.9 + -0.1333x; interpolation 
3690 <= x 3720; y_124 = -38.900000000000006 + 0.0333x; interpolation 
3720 <= x 3750; y_125 = 208.9 + -0.0333x; interpolation 
3750 <= x 3780; y_126 = 2334.0 + -0.6x; interpolation 
3780 <= x 3810; y_127 = -2454.1 + 0.6667x; interpolation 
3810 <= x 3840; y_128 = -40.900000000000006 + 0.0333x; interpolation 
3840 <= x 3870; y_129 = 598.9 + -0.1333x; interpolation 
3870 <= x 3900; y_130 = 2276.1 + -0.5667x; interpolation 
3900 <= x 3930; y_131 = 66.0 + 0.0x; interpolation 
3930 <= x 3960; y_132 = -2554.1 + 0.6667x; interpolation 
3960 <= x 3990; y_133 = 1009.9 + -0.2333x; interpolation 
3990 <= x 4020; y_134 = 1807.9 + -0.4333x; interpolation 
4020 <= x 4050; y_135 = -202.10000000000002 + 0.0667x; interpolation 
4050 <= x 4080; y_136 = -1957.0 + 0.5x; interpolation 
4080 <= x 4110; y_137 = 83.0 + 0.0x; interpolation 
4110 <= x 4140; y_138 = 2549.0 + -0.6x; interpolation 
4140 <= x 4170; y_139 = -2833.0 + 0.7x; interpolation 
4170 <= x 4200; y_140 = 781.1 + -0.1667x; interpolation 
4200 <= x 4230; y_141 = 2320.9 + -0.5333x; interpolation 
4230 <= x 4260; y_142 = -3036.9 + 0.7333x; interpolation 
4260 <= x 4290; y_143 = 371.1 + -0.0667x; interpolation 
4290 <= x 4320; y_144 = 2945.1 + -0.6667x; interpolation 
4320 <= x 4350; y_145 = -510.9 + 0.1333x; interpolation 
4350 <= x 4380; y_146 = -2250.9 + 0.5333x; interpolation 
4380 <= x 4410; y_147 = 2858.9 + -0.6333x; interpolation 
4410 <= x 4440; y_148 = 5799.0 + -1.3x; interpolation 
4440 <= x 4470; y_149 = -5892.9 + 1.3333x; interpolation 
4470 <= x 4500; y_150 = 365.1 + -0.0667x; interpolation 
4500 <= x 4530; y_151 = -2185.0 + 0.5x; interpolation 
4530 <= x 4560; y_152 = -976.8 + 0.2333x; interpolation 
4560 <= x 4590; y_153 = 1303.2 + -0.2667x; interpolation 
4590 <= x 4620; y_154 = -1145.2 + 0.2667x; interpolation 
4620 <= x 4650; y_155 = 1319.2 + -0.2667x; interpolation 
4650 <= x 4680; y_156 = -1161.2 + 0.2667x; interpolation 
4680 <= x 4710; y_157 = 1178.8 + -0.2333x; interpolation 
4710 <= x 4740; y_158 = -1018.8 + 0.2333x; interpolation 
4740 <= x 4770; y_159 = 403.2 + -0.0667x; interpolation 
4770 <= x 4800; y_160 = 3424.0 + -0.7x; interpolation 
4800 <= x 4830; y_161 = -3616.2 + 0.7667x; interpolation 
4830 <= x 4860; y_162 = 3628.8 + -0.7333x; interpolation 
4860 <= x 4890; y_163 = -3175.2 + 0.6667x; interpolation 
4890 <= x 4920; y_164 = 3345.2 + -0.6667x; interpolation 
4920 <= x 4950; y_165 = -3379.0 + 0.7x; interpolation 
4950 <= x 4980; y_166 = 3386.2 + -0.6667x; interpolation 
4980 <= x 5010; y_167 = -764.2 + 0.1667x; interpolation 
5010 <= x 5040; y_168 = -2099.8 + 0.4333x; interpolation 
5040 <= x 5070; y_169 = 2436.2 + -0.4667x; interpolation 
5070 <= x 5100; y_170 = -1619.8 + 0.3333x; interpolation 
5100 <= x 5130; y_171 = 80.0 + 0.0x; interpolation 
5130 <= x 5160; y_172 = 2474.2 + -0.4667x; interpolation 
5160 <= x 5190; y_173 = -3201.8 + 0.6333x; interpolation 
5190 <= x 5220; y_174 = 3199.0 + -0.6x; interpolation 
5220 <= x 5250; y_175 = 1111.0 + -0.2x; interpolation 
5250 <= x 5280; y_176 = -989.0 + 0.2x; interpolation 
5280 <= x 5310; y_177 = -813.2 + 0.1667x; interpolation 
5310 <= x 5340; y_178 = -2406.2 + 0.4667x; interpolation 
5340 <= x 5370; y_179 = 2399.8 + -0.4333x; interpolation 
5370 <= x 5400; y_180 = -1896.2 + 0.3667x; interpolation 
5400 <= x 5430; y_181 = 2064.2 + -0.3667x; interpolation 
5430 <= x 5460; y_182 = -1736.8 + 0.3333x; interpolation 
5460 <= x 5490; y_183 = 1175.0 + -0.2x; interpolation 
5490 <= x 5520; y_184 = 2090.2 + -0.3667x; interpolation 
5520 <= x 5550; y_185 = -3246.0 + 0.6x; interpolation 
5550 <= x 5580; y_186 = 3043.8 + -0.5333x; interpolation 
5580 <= x 5610; y_187 = -2722.0 + 0.5x; interpolation 
5610 <= x 5640; y_188 = 3074.8 + -0.5333x; interpolation 
5640 <= x 5670; y_189 = -3504.8 + 0.6333x; interpolation 
5670 <= x 5700; y_190 = 1598.2 + -0.2667x; interpolation 
5700 <= x 5730; y_191 = 2738.2 + -0.4667x; interpolation 
5730 <= x 5760; y_192 = -3947.0 + 0.7x; interpolation 
5760 <= x 5790; y_193 = 3732.8 + -0.6333x; interpolation 
5790 <= x 5820; y_194 = -3987.0 + 0.7x; interpolation 
5820 <= x 5850; y_195 = 4354.8 + -0.7333x; interpolation 
5850 <= x 5880; y_196 = -4224.8 + 0.7333x; interpolation 
5880 <= x 5910; y_197 = 4203.0 + -0.7x; interpolation 
5910 <= x 5940; y_198 = -3480.0 + 0.6x; interpolation 
5940 <= x 5970; y_199 = -312.2 + 0.0667x; interpolation 
5970 <= x 6000; y_200 = 683.0 + -0.1x; interpolation 
6000 <= x 6030; y_201 = 3683.0 + -0.6x; interpolation 
6030 <= x 6060; y_202 = -3955.2 + 0.6667x; interpolation 
6060 <= x 6090; y_203 = 3922.8 + -0.6333x; interpolation 
6090 <= x 6120; y_204 = -4197.0 + 0.7x; interpolation 
6120 <= x 6150; y_205 = 902.8 + -0.1333x; interpolation 
6150 <= x 6180; y_206 = 83.0 + 0.0x; interpolation 
6180 <= x 6210; y_207 = -947.2 + 0.1667x; interpolation 
6210 <= x 6240; y_208 = 4641.8 + -0.7333x; interpolation 
6240 <= x 6270; y_209 = -3885.8 + 0.6333x; interpolation 
6270 <= x 6300; y_210 = 3847.0 + -0.6x; interpolation 
6300 <= x 6330; y_211 = -4133.2 + 0.6667x; interpolation 
6330 <= x 6360; y_212 = 4095.8 + -0.6333x; interpolation 
6360 <= x 6390; y_213 = -3748.0 + 0.6x; interpolation 
6390 <= x 6420; y_214 = -126.80000000000001 + 0.0333x; interpolation 
6420 <= x 6450; y_215 = 515.2 + -0.0667x; interpolation 
6450 <= x 6480; y_216 = 515.2 + -0.0667x; interpolation 
6480 <= x 6510; y_217 = 3971.0 + -0.6x; interpolation 
6510 <= x 6540; y_218 = -4708.8 + 0.7333x; interpolation 
6540 <= x 6570; y_219 = 4665.0 + -0.7x; interpolation 
6570 <= x 6600; y_220 = -4094.8 + 0.6333x; interpolation 
6600 <= x 6630; y_221 = 4264.8 + -0.6333x; interpolation 
6630 <= x 6660; y_222 = -376.2 + 0.0667x; interpolation 
6660 <= x 6690; y_223 = -3706.2 + 0.5667x; interpolation 
6690 <= x 6720; y_224 = 531.2 + -0.0667x; interpolation 
6720 <= x 6750; y_225 = 3891.2 + -0.5667x; interpolation 
6750 <= x 6780; y_226 = 516.2 + -0.0667x; interpolation 
6780 <= x 6810; y_227 = 7069.8 + -1.0333x; interpolation 
6810 <= x 6840; y_228 = 714.0 + -0.1x; interpolation 
6840 <= x 6870; y_229 = -11370.2 + 1.6667x; interpolation 
6870 <= x 6900; y_230 = -607.0 + 0.1x; interpolation 
6900 <= x 6930; y_231 = -377.2 + 0.0667x; interpolation 
6930 <= x 6960; y_232 = 315.8 + -0.0333x; interpolation 
6960 <= x 6990; y_233 = 1011.8 + -0.1333x; interpolation 
6990 <= x 7020; y_234 = 80.0 + 0.0x; interpolation 
7020 <= x 7050; y_235 = 1484.0 + -0.2x; interpolation 
7050 <= x 7080; y_236 = -1336.0 + 0.2x; interpolation 
7080 <= x 7110; y_237 = -1571.8 + 0.2333x; interpolation 
7110 <= x 7140; y_238 = 5775.0 + -0.8x; interpolation 
7140 <= x 7170; y_239 = -4697.2 + 0.6667x; interpolation 
7170 <= x 7200; y_240 = 83.0 + 0.0x; interpolation 
7200 <= x 7230; y_241 = -397.2 + 0.0667x; interpolation 
7230 <= x 7260; y_242 = 325.8 + -0.0333x; interpolation 
7260 <= x 7290; y_243 = 4681.8 + -0.6333x; interpolation 
7290 <= x 7320; y_244 = -5280.8 + 0.7333x; interpolation 
7320 <= x 7350; y_245 = 5211.0 + -0.7x; interpolation 
7350 <= x 7380; y_246 = -178.8 + 0.0333x; interpolation 
7380 <= x 7410; y_247 = -4853.2 + 0.6667x; interpolation 
7410 <= x 7440; y_248 = 5027.2 + -0.6667x; interpolation 
7440 <= x 7470; y_249 = -5141.0 + 0.7x; interpolation 
7470 <= x 7500; y_250 = 1083.8 + -0.1333x; interpolation 
7500 <= x 7530; y_251 = 84.0 + 0.0x; interpolation 
7530 <= x 7560; y_252 = 2092.3 + -0.2667x; interpolation 
7560 <= x 7590; y_253 = 3100.0 + -0.4x; interpolation 
7590 <= x 7620; y_254 = -695.0 + 0.1x; interpolation 
7620 <= x 7650; y_255 = -3996.7 + 0.5333x; interpolation 
7650 <= x 7680; y_256 = 83.0 + 0.0x; interpolation 
7680 <= x 7710; y_257 = -685.0 + 0.1x; interpolation 
7710 <= x 7740; y_258 = 342.7 + -0.0333x; interpolation 
7740 <= x 7770; y_259 = 5245.3 + -0.6667x; interpolation 
7770 <= x 7800; y_260 = -453.29999999999995 + 0.0667x; interpolation 
7800 <= x 7830; y_261 = -4092.7 + 0.5333x; interpolation 
7830 <= x 7860; y_262 = 3998.0 + -0.5x; interpolation 
7860 <= x 7890; y_263 = -4909.7 + 0.6333x; interpolation 
7890 <= x 7920; y_264 = 87.0 + 0.0x; interpolation 
7920 <= x 7950; y_265 = 350.7 + -0.0333x; interpolation 
7950 <= x 7980; y_266 = 350.7 + -0.0333x; interpolation 
7980 <= x 8010; y_267 = 5405.3 + -0.6667x; interpolation 
8010 <= x 8040; y_268 = -4474.3 + 0.5667x; interpolation 
8040 <= x 8070; y_269 = 4369.7 + -0.5333x; interpolation 
8070 <= x 8100; y_270 = -5044.7 + 0.6333x; interpolation 
8100 <= x 8130; y_271 = 4945.0 + -0.6x; interpolation 
8130 <= x 8160; y_272 = -475.29999999999995 + 0.0667x; interpolation 
8160 <= x 8190; y_273 = 885.0 + -0.1x; interpolation 
8190 <= x 8220; y_274 = -5939.7 + 0.7333x; interpolation 
8220 <= x 8250; y_275 = 636.3 + -0.0667x; interpolation 
8250 <= x 8280; y_276 = 5036.0 + -0.6x; interpolation 
8280 <= x 8310; y_277 = -4900.0 + 0.6x; interpolation 
8310 <= x 8340; y_278 = 5072.0 + -0.6x; interpolation 
8340 <= x 8370; y_279 = -4379.7 + 0.5333x; interpolation 
8370 <= x 8400; y_280 = 642.3 + -0.0667x; interpolation 
8400 <= x 8430; y_281 = 4842.3 + -0.5667x; interpolation 
8430 <= x 8460; y_282 = -5836.0 + 0.7x; interpolation 
8460 <= x 8490; y_283 = 1496.3 + -0.1667x; interpolation 
8490 <= x 8520; y_284 = 7155.7 + -0.8333x; interpolation 
8520 <= x 8550; y_285 = -3068.3 + 0.3667x; interpolation 
8550 <= x 8580; y_286 = -4778.3 + 0.5667x; interpolation 
8580 <= x 8610; y_287 = 5232.0 + -0.6x; interpolation 
8610 <= x 8640; y_288 = -5961.0 + 0.7x; interpolation 
8640 <= x 8670; y_289 = 4983.3 + -0.5667x; interpolation 
8670 <= x 8700; y_290 = -5132.0 + 0.6x; interpolation 
8700 <= x 8730; y_291 = 7337.7 + -0.8333x; interpolation 
8730 <= x 8760; y_292 = -5757.3 + 0.6667x; interpolation 
8760 <= x 8790; y_293 = 5047.3 + -0.5667x; interpolation 
8790 <= x 8820; y_294 = 66.0 + 0.0x; interpolation 
8820 <= x 8850; y_295 = -5519.7 + 0.6333x; interpolation 
8850 <= x 8880; y_296 = 379.7 + -0.0333x; interpolation 
8880 <= x 8910; y_297 = -508.29999999999995 + 0.0667x; interpolation 
8910 <= x 8940; y_298 = 680.3 + -0.0667x; interpolation 
8940 <= x 8970; y_299 = 84.0 + 0.0x; interpolation 
8970 <= x 9000; y_300 = 5167.3 + -0.5667x; interpolation 
9000 <= x 9030; y_301 = -833.0 + 0.1x; interpolation 
9030 <= x 9060; y_302 = -4144.3 + 0.4667x; interpolation 
9060 <= x 9090; y_303 = 4312.3 + -0.4667x; interpolation 
9090 <= x 9120; y_304 = -4172.3 + 0.4667x; interpolation 
9120 <= x 9150; y_305 = 4340.3 + -0.4667x; interpolation 
9150 <= x 9180; y_306 = 2815.0 + -0.3x; interpolation 
9180 <= x 9210; y_307 = 5569.0 + -0.6x; interpolation 
9210 <= x 9240; y_308 = 4341.3 + -0.4667x; interpolation 
9240 <= x 9270; y_309 = -12290.7 + 1.3333x; interpolation 
9270 <= x 9300; y_310 = -4257.3 + 0.4667x; interpolation 
9300 <= x 9330; y_311 = 5353.3 + -0.5667x; interpolation 
9330 <= x 9360; y_312 = -4599.0 + 0.5x; interpolation 
9360 <= x 9390; y_313 = 3825.0 + -0.4x; interpolation 
9390 <= x 9420; y_314 = -4626.0 + 0.5x; interpolation 
9420 <= x 9450; y_315 = 1654.3 + -0.1667x; interpolation 
9450 <= x 9480; y_316 = -866.0 + 0.1x; interpolation 
9480 <= x 9510; y_317 = 714.3 + -0.0667x; interpolation 
9510 <= x 9540; y_318 = 4835.0 + -0.5x; interpolation 
9540 <= x 9570; y_319 = -1525.3 + 0.1667x; interpolation 
9570 <= x 9600; y_320 = -4396.3 + 0.4667x; interpolation 
9600 <= x 9630; y_321 = 2323.7 + -0.2333x; interpolation 
9630 <= x 9660; y_322 = -3132.7 + 0.3333x; interpolation 
9660 <= x 9690; y_323 = 3306.7 + -0.3333x; interpolation 
9690 <= x 9720; y_324 = 3953.0 + -0.4x; interpolation 
9720 <= x 9750; y_325 = -6739.0 + 0.7x; interpolation 
9750 <= x 9780; y_326 = 6260.7 + -0.6333x; interpolation 
9780 <= x 9810; y_327 = -6453.3 + 0.6667x; interpolation 
9810 <= x 9840; y_328 = 1068.0 + -0.1x; interpolation 
9840 <= x 9870; y_329 = 3036.0 + -0.3x; interpolation 
9870 <= x 9900; y_330 = -3214.7 + 0.3333x; interpolation 
9900 <= x 9930; y_331 = 1735.3 + -0.1667x; interpolation 
9930 <= x 9960; y_332 = -1243.7 + 0.1333x; interpolation 
9960 <= x 9990; y_333 = -580.3 + 0.0667x; interpolation 
9990 <= x 10020; y_334 = 418.7 + -0.0333x; interpolation 
10020 <= x 10050; y_335 = 7099.0 + -0.7x; interpolation 
10050 <= x 10080; y_336 = -7305.7 + 0.7333x; interpolation 
10080 <= x 10110; y_337 = 7142.0 + -0.7x; interpolation 
10110 <= x 10140; y_338 = -271.7 + 0.0333x; interpolation 
10140 <= x 10170; y_339 = -6694.3 + 0.6667x; interpolation 
10170 <= x 10200; y_340 = 6526.7 + -0.6333x; interpolation 
10200 <= x 10230; y_341 = -5033.0 + 0.5x; interpolation 
10230 <= x 10260; y_342 = 6220.0 + -0.6x; interpolation 
10260 <= x 10290; y_343 = -7118.0 + 0.7x; interpolation 
10290 <= x 10320; y_344 = 85.0 + 0.0x; interpolation 
10320 <= x 10350; y_345 = 1117.0 + -0.1x; interpolation 
10350 <= x 10380; y_346 = 5257.0 + -0.5x; interpolation 
10380 <= x 10410; y_347 = -5815.3 + 0.5667x; interpolation 
10410 <= x 10440; y_348 = 6330.0 + -0.6x; interpolation 
10440 <= x 10470; y_349 = -6894.3 + 0.6667x; interpolation 
10470 <= x 10500; y_350 = 7066.3 + -0.6667x; interpolation 
10500 <= x 10530; y_351 = -6583.6 + 0.6333x; interpolation 
10530 <= x 10560; y_352 = 435.6 + -0.0333x; interpolation 
10560 <= x 10590; y_353 = -972.0 + 0.1x; interpolation 
10590 <= x 10620; y_354 = 1146.0 + -0.1x; interpolation 
10620 <= x 10650; y_355 = -978.0 + 0.1x; interpolation 
10650 <= x 10680; y_356 = 2571.6 + -0.2333x; interpolation 
10680 <= x 10710; y_357 = 6132.4 + -0.5667x; interpolation 
10710 <= x 10740; y_358 = -7790.6 + 0.7333x; interpolation 
10740 <= x 10770; y_359 = 7245.4 + -0.6667x; interpolation 
