0 <= x 30; y_1 = 80.0 + -0.5x; interpolation 
30 <= x 60; y_2 = 67.0 + -0.0667x; interpolation 
60 <= x 90; y_3 = 19.0 + 0.7333x; interpolation 
90 <= x 120; y_4 = 103.0 + -0.2x; interpolation 
120 <= x 150; y_5 = 59.0 + 0.1667x; interpolation 
150 <= x 180; y_6 = 119.0 + -0.2333x; interpolation 
180 <= x 210; y_7 = 59.0 + 0.1x; interpolation 
210 <= x 240; y_8 = 185.0 + -0.5x; interpolation 
240 <= x 270; y_9 = -71.0 + 0.5667x; interpolation 
270 <= x 300; y_10 = 91.0 + -0.0333x; interpolation 
300 <= x 330; y_11 = 61.0 + 0.0667x; interpolation 
330 <= x 360; y_12 = 149.0 + -0.2x; interpolation 
360 <= x 390; y_13 = 221.0 + -0.4x; interpolation 
390 <= x 420; y_14 = 13.0 + 0.1333x; interpolation 
420 <= x 450; y_15 = -155.0 + 0.5333x; interpolation 
450 <= x 480; y_16 = 100.0 + -0.0333x; interpolation 
480 <= x 510; y_17 = 388.0 + -0.6333x; interpolation 
510 <= x 540; y_18 = 48.0 + 0.0333x; interpolation 
540 <= x 570; y_19 = 102.0 + -0.0667x; interpolation 
570 <= x 600; y_20 = 7.0 + 0.1x; interpolation 
600 <= x 630; y_21 = 67.0 + 0.0x; interpolation 
630 <= x 660; y_22 = 46.0 + 0.0333x; interpolation 
660 <= x 690; y_23 = -174.0 + 0.3667x; interpolation 
690 <= x 720; y_24 = 424.0 + -0.5x; interpolation 
720 <= x 750; y_25 = -440.0 + 0.7x; interpolation 
750 <= x 780; y_26 = 510.0 + -0.5667x; interpolation 
780 <= x 810; y_27 = -270.0 + 0.4333x; interpolation 
810 <= x 840; y_28 = 405.0 + -0.4x; interpolation 
840 <= x 870; y_29 = -295.0 + 0.4333x; interpolation 
870 <= x 900; y_30 = 169.0 + -0.1x; interpolation 
900 <= x 930; y_31 = 109.0 + -0.0333x; interpolation 
930 <= x 960; y_32 = 109.0 + -0.0333x; interpolation 
960 <= x 990; y_33 = 525.0 + -0.4667x; interpolation 
990 <= x 1020; y_34 = -366.0 + 0.4333x; interpolation 
1020 <= x 1050; y_35 = 450.0 + -0.3667x; interpolation 
1050 <= x 1080; y_36 = -285.0 + 0.3333x; interpolation 
1080 <= x 1110; y_37 = 399.0 + -0.3x; interpolation 
1110 <= x 1140; y_38 = -8.0 + 0.0667x; interpolation 
1140 <= x 1170; y_39 = -236.0 + 0.2667x; interpolation 
